user2 2017-02-10	Fri	hour:23 		response time:  0:01:00
user2 2017-02-10	Fri	hour:23 		response time:  0:27:00
user2 2017-02-12	Sun	hour:18 		response time:  0:01:00
user3 2017-02-14	Tue	hour:23 		response time:  0:01:00
user1 2017-02-14	Tue	hour:23 		response time:  0:00:00
user3 2017-02-14	Tue	hour:23 		response time:  0:02:00
user1 2017-02-15	Wed	hour:13 		response time:  1:54:00
user1 2017-02-15	Wed	hour:15 		response time:  0:03:00
user3 2017-02-16	Thu	hour:0 		response time:  0:00:00
user2 2017-02-16	Thu	hour:0 		response time:  0:01:00
user2 2017-02-16	Thu	hour:0 		response time:  0:00:00
user3 2017-02-16	Thu	hour:0 		response time:  0:02:00
user2 2017-02-16	Thu	hour:0 		response time:  0:00:00
user2 2017-02-16	Thu	hour:0 		response time:  0:00:00
user2 2017-02-16	Thu	hour:0 		response time:  0:00:00
user2 2017-02-16	Thu	hour:0 		response time:  0:00:00
user2 2017-02-16	Thu	hour:0 		response time:  0:01:00
user3 2017-02-16	Thu	hour:0 		response time:  0:01:00
user2 2017-02-16	Thu	hour:0 		response time:  0:00:00
user2 2017-02-16	Thu	hour:8 		response time:  0:02:00
user3 2017-02-16	Thu	hour:8 		response time:  0:00:00
user1 2017-02-16	Thu	hour:8 		response time:  0:00:00
user1 2017-02-16	Thu	hour:8 		response time:  0:00:00
user2 2017-02-16	Thu	hour:8 		response time:  0:00:00
user1 2017-02-16	Thu	hour:8 		response time:  0:01:00
user1 2017-02-16	Thu	hour:8 		response time:  0:00:00
user1 2017-02-16	Thu	hour:8 		response time:  0:00:00
user3 2017-02-16	Thu	hour:9 		response time:  0:00:00
user2 2017-02-16	Thu	hour:9 		response time:  0:00:00
user1 2017-02-16	Thu	hour:10 		response time:  0:02:00
user1 2017-02-16	Thu	hour:10 		response time:  0:06:00
user3 2017-02-16	Thu	hour:10 		response time:  0:13:00
user3 2017-02-16	Thu	hour:11 		response time:  0:01:00
user1 2017-02-16	Thu	hour:11 		response time:  0:06:00
user2 2017-02-17	Fri	hour:19 		response time:  0:29:00
user1 2017-02-17	Fri	hour:20 		response time:  0:02:00
user3 2017-02-17	Fri	hour:20 		response time:  0:03:00
user3 2017-02-17	Fri	hour:20 		response time:  0:00:00
user1 2017-02-17	Fri	hour:20 		response time:  0:00:00
user1 2017-02-17	Fri	hour:20 		response time:  0:00:00
user3 2017-02-17	Fri	hour:21 		response time:  0:00:00
user2 2017-02-17	Fri	hour:23 		response time:  0:01:00
user1 2017-02-18	Sat	hour:15 		response time:  0:00:00
user3 2017-02-18	Sat	hour:20 		response time:  0:34:00
user1 2017-02-18	Sat	hour:20 		response time:  0:00:00
user2 2017-02-18	Sat	hour:21 		response time:  0:00:00
user1 2017-02-18	Sat	hour:21 		response time:  0:00:00
user2 2017-02-18	Sat	hour:21 		response time:  0:00:00
user2 2017-02-18	Sat	hour:21 		response time:  0:02:00
user1 2017-02-18	Sat	hour:21 		response time:  0:05:00
user3 2017-02-19	Sun	hour:0 		response time:  0:01:00
user2 2017-02-19	Sun	hour:15 		response time:  0:23:00
user2 2017-02-19	Sun	hour:17 		response time:  0:00:00
user2 2017-02-19	Sun	hour:19 		response time:  0:01:00
user2 2017-02-22	Wed	hour:18 		response time:  0:01:00
user1 2017-02-22	Wed	hour:18 		response time:  0:37:00
user2 2017-02-22	Wed	hour:21 		response time:  0:02:00
user1 2017-02-22	Wed	hour:22 		response time:  0:00:00
user1 2017-02-22	Wed	hour:22 		response time:  0:00:00
user1 2017-02-22	Wed	hour:22 		response time:  0:10:00
user1 2017-02-22	Wed	hour:23 		response time:  0:00:00
user3 2017-02-24	Fri	hour:1 		response time:  0:00:00
user3 2017-02-24	Fri	hour:1 		response time:  0:01:00
user1 2017-02-25	Sat	hour:1 		response time:  0:00:00
user2 2017-02-25	Sat	hour:1 		response time:  0:00:00
user1 2017-02-26	Sun	hour:16 		response time:  0:04:00
user3 2017-02-26	Sun	hour:18 		response time:  0:04:00
user1 2017-02-26	Sun	hour:18 		response time:  0:13:00
user3 2017-02-26	Sun	hour:18 		response time:  0:02:00
user3 2017-02-27	Mon	hour:8 		response time:  0:16:00
user1 2017-02-27	Mon	hour:13 		response time:  1:42:00
user3 2017-02-27	Mon	hour:13 		response time:  0:01:00
user3 2017-02-27	Mon	hour:13 		response time:  0:00:00
user3 2017-02-27	Mon	hour:13 		response time:  0:00:00
user1 2017-02-27	Mon	hour:13 		response time:  0:00:00
user1 2017-02-27	Mon	hour:13 		response time:  0:00:00
user3 2017-02-27	Mon	hour:14 		response time:  0:00:00
user1 2017-02-27	Mon	hour:14 		response time:  0:00:00
user3 2017-02-27	Mon	hour:14 		response time:  0:01:00
user3 2017-02-27	Mon	hour:14 		response time:  0:00:00
user1 2017-02-27	Mon	hour:14 		response time:  0:01:00
user3 2017-02-27	Mon	hour:15 		response time:  0:02:00
user1 2017-02-27	Mon	hour:17 		response time:  0:00:00
user1 2017-02-27	Mon	hour:17 		response time:  0:00:00
user3 2017-02-27	Mon	hour:17 		response time:  0:04:00
user2 2017-02-27	Mon	hour:18 		response time:  0:08:00
user1 2017-02-27	Mon	hour:18 		response time:  0:00:00
user1 2017-02-27	Mon	hour:18 		response time:  0:01:00
user3 2017-02-27	Mon	hour:18 		response time:  0:00:00
user1 2017-02-27	Mon	hour:20 		response time:  1:47:00
user1 2017-02-28	Tue	hour:19 		response time:  0:00:00
user3 2017-02-28	Tue	hour:19 		response time:  0:00:00
user3 2017-02-28	Tue	hour:19 		response time:  0:01:00
user3 2017-03-01	Wed	hour:0 		response time:  0:00:00
user1 2017-03-01	Wed	hour:1 		response time:  0:02:00
user2 2017-03-01	Wed	hour:1 		response time:  0:00:00
user3 2017-03-01	Wed	hour:16 		response time:  0:07:00
user1 2017-03-01	Wed	hour:16 		response time:  0:01:00
user1 2017-03-01	Wed	hour:16 		response time:  0:00:00
user2 2017-03-01	Wed	hour:16 		response time:  0:00:00
user1 2017-03-01	Wed	hour:16 		response time:  0:00:00
user1 2017-03-01	Wed	hour:16 		response time:  0:01:00
user1 2017-03-01	Wed	hour:16 		response time:  0:00:00
user2 2017-03-01	Wed	hour:17 		response time:  0:00:00
user3 2017-03-01	Wed	hour:17 		response time:  0:00:00
user3 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user3 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user2 2017-03-01	Wed	hour:17 		response time:  0:00:00
user3 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user1 2017-03-01	Wed	hour:17 		response time:  0:00:00
user3 2017-03-01	Wed	hour:18 		response time:  0:02:00
user3 2017-03-01	Wed	hour:18 		response time:  0:01:00
user1 2017-03-01	Wed	hour:20 		response time:  0:22:00
user1 2017-03-01	Wed	hour:20 		response time:  0:02:00
user3 2017-03-01	Wed	hour:20 		response time:  0:00:00
